Paths,Accumulated Latency [s],Accumulated Noise [W],Accumulated SNR [dB]
D->F->B->A,0.005856330308272415,1.1712660616544832e-06,29.31344440552332
D->F->E->C->A,0.009184366836282562,1.8368733672565127e-06,27.359207826149156
D->A->B,0.0036717102294323454,7.343420458864693e-07,31.34101604879875
D->A->C->E->F->B,0.01127174863010126,2.254349726020252e-06,26.469787092752803
D->B,0.00206155281280883,4.1231056256176617e-07,33.84775539310863
D->C->A->B,0.005942250835824648,1.1884501671649297e-06,29.250190239307692
D->C->E->F->B,0.008798872746240992,1.7597745492481988e-06,27.545429675773857
D->E->C->A->B,0.007811185427524999,1.562237085505e-06,28.06253056813921
D->E->F->B,0.007132273432008606,1.4264546864017214e-06,28.45742019841646
D->F->B,0.004088563355306047,8.177126710612095e-07,30.873992724822998
D->F->E->C->A->B,0.01095213378924893,2.1904267578497864e-06,26.594712639162893
D->A->B->F->E->C,0.010667807337941343,2.133561467588269e-06,26.708948406650595
D->A->C,0.004275651521592262,8.551303043184525e-07,30.679677026582116
D->B->A->C,0.006201028010901484,1.240205602180297e-06,29.06506311216375
D->B->F->E->C,0.009057649921317829,1.8115299842635656e-06,27.41954473171017
D->C,0.0018027756377319946,3.60555127546399e-07,34.43028323846582
D->E->C,0.0036717102294323454,7.343420458864693e-07,31.34101604879875
D->E->F->B->A->C,0.011271748630101257,2.254349726020252e-06,26.469787092752803
D->F->B->A->C,0.0082280385533987,1.6456077106797403e-06,27.83673686372996
D->F->E->C,0.006812658591156278,1.3625317182312558e-06,28.656533790384945
D->A->B->F->E,0.008900040384974973,1.7800080769949952e-06,27.495780270245902
D->A->C->E,0.00604341847455863,1.2086836949117263e-06,29.176873364653247
D->B->A->C->E,0.007968794963867851,1.5937589927735708e-06,27.975773517115883
D->B->F->E,0.007289882968351459,1.4579765936702919e-06,28.362494481177905
D->C->A->B->F->E,0.011170580991367276,2.2341161982734557e-06,26.508942426095764
D->C->E,0.003570542590698363,7.141085181396728e-07,31.46235786475725
D->E,0.001903943276465977,3.807886552931955e-07,34.19315998882512
D->F->B->A->C->E,0.009995805506365068,1.999161101273014e-06,26.991522070951092
D->F->E,0.005044891638189909,1.008978327637982e-06,29.96118162096408
D->A->B->F,0.005807711165761728,1.1615422331523459e-06,29.349649948249454
D->A->C->E->F,0.009135747693771876,1.8271495387543753e-06,27.38225907382988
D->B->A->C->E->F,0.011061124183081097,2.21222483661622e-06,26.551707361650074
D->B->F,0.004197553749138213,8.395107498276428e-07,30.759737384051032
D->C->A->B->F,0.00807825177215403,1.6156503544308064e-06,27.916526197811727
D->C->E->F,0.006662871809911609,1.3325743619823221e-06,28.7530854658095
D->E->C->A->B->F,0.009947186363854381,1.9894372727708767e-06,27.012697496660934
D->E->F,0.004996272495679223,9.992544991358447e-07,30.003238876558264
D->F,0.0019525624189766636,3.905124837953328e-07,34.08365078158597
E->C->A,0.0041394751980926535,8.278950396185308e-07,30.820247195000423
E->C->D->A,0.00547448586716434,1.0948971734328683e-06,29.606266653970135
E->C->D->B->A,0.007399862356473562,1.4799724712947128e-06,28.297463627644962
E->C->D->F->B->A,0.009426872898970779,1.885374579794156e-06,27.24602352738605
E->D->A,0.003807886552931954,7.61577310586391e-07,31.18286003218531
E->D->B->A,0.0057332630422411756,1.1466526084482354e-06,29.4056813666335
E->D->C->A,0.006078427159324256,1.2156854318648514e-06,29.15178787628153
E->D->F->B->A,0.007760273584738392,1.5520547169476787e-06,28.09092971963425
E->F->B->A,0.0069960971085089975,1.3992194217017995e-06,28.541141753136984
E->F->B->D->A,0.009193826244817436,1.8387652489634873e-06,27.354737126256715
E->F->B->D->C->A,0.011464366851209738,2.2928733702419476e-06,26.39619929624072
E->F->D->A,0.006948834914655886,1.3897669829311775e-06,28.5705801018508
E->F->D->B->A,0.008874211403965108,1.7748422807930219e-06,27.508402339467033
E->F->D->C->A,0.009219375521048187,1.8438751042096378e-06,27.34268499437251
E->C->A->B,0.005907242151059022,1.1814484302118046e-06,29.27585230411839
E->C->A->D->B,0.00810497128736746,1.6209942574734923e-06,27.902185236783154
E->C->A->D->F->B,0.010131981829864677,2.0263963659729355e-06,26.93275602056492
E->C->D->A->B,0.007242252820130708,1.448450564026142e-06,28.390963227847163
E->C->D->B,0.005632095403507193,1.126419080701439e-06,29.483000015141428
E->C->D->F->B,0.00765910594600441,1.5318211892008823e-06,28.147919273115363
E->D->A->B,0.005575653505898323,1.1151307011796648e-06,29.526742272575458
E->D->B,0.003965496089274807,7.930992178549617e-07,31.006724784181998
E->D->C->A->B,0.007846194112290625,1.5692388224581251e-06,28.04310956105352
E->D->F->B,0.0059925066317720235,1.198501326354405e-06,29.213614810061472
E->F->B,0.005228330155542629,1.0456660311085258e-06,29.806069999869898
E->F->D->A->B,0.008716601867622254,1.7433203735244512e-06,27.586227943769032
E->F->D->B,0.007106444450998739,1.4212888901997481e-06,28.473176387031014
E->F->D->C->A->B,0.010987142474014555,2.1974284948029116e-06,26.580852481394132
E->C,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
E->D->A->C,0.0061795947980582385,1.235918959611648e-06,29.080100054181944
E->D->B->A->C,0.00810497128736746,1.6209942574734923e-06,27.902185236783154
E->D->C,0.0037067189141979716,7.413437828395945e-07,31.299803502301586
E->D->F->B->A->C,0.010131981829864677,2.0263963659729355e-06,26.93275602056492
E->F->B->A->C,0.009367805353635282,1.8735610707270564e-06,27.273321460463006
E->F->B->A->D->C,0.01070281602270697,2.140563204541394e-06,26.694719442004708
E->F->B->D->A->C,0.01156553448994372,2.3131068979887444e-06,26.358042962679132
E->F->B->D->C,0.009092658606083454,1.8185317212166907e-06,27.402791190089314
E->F->D->A->C,0.00932054315978217,1.8641086319564346e-06,27.29528782494622
E->F->D->B->A->C,0.011245919649091392,2.2491839298182788e-06,26.47975028139772
E->F->D->C,0.006847667275921903,1.369533455184381e-06,28.634273542647094
E->C->A->B->D,0.007968794963867851,1.5937589927735708e-06,27.975773517115883
E->C->A->B->F->D,0.009995805506365068,1.999161101273014e-06,26.991522070951092
E->C->A->D,0.00604341847455863,1.2086836949117263e-06,29.176873364653247
E->C->D,0.003570542590698363,7.141085181396728e-07,31.46235786475725
E->D,0.001903943276465977,3.807886552931955e-07,34.19315998882512
E->F->B->A->C->D,0.011170580991367278,2.2341161982734553e-06,26.50894242609577
E->F->B->A->D,0.008900040384974975,1.780008076994995e-06,27.495780270245902
E->F->B->D,0.007289882968351459,1.4579765936702919e-06,28.362494481177905
E->F->D,0.005044891638189909,1.008978327637982e-06,29.96118162096408
E->C->A->B->D->F,0.009921357382844515,1.984271476568904e-06,27.02398910452898
E->C->A->B->F,0.008043243087388404,1.6086486174776813e-06,27.935388099445465
E->C->A->D->B->F,0.010240972223696843,2.048194444739369e-06,26.886288161196568
E->C->A->D->F,0.007995980893535294,1.599196178707059e-06,27.96098256639077
E->C->D->A->B->F,0.009378253756460092,1.8756507512920187e-06,27.268480246493976
E->C->D->B->F,0.007768096339836576,1.5536192679673158e-06,28.086554012877745
E->C->D->F,0.005523105009675027,1.1046210019350056e-06,29.567867038809695
E->D->A->B->F,0.007711654442227706,1.5423308884455415e-06,28.118224436585713
E->D->B->F,0.00610149702560419,1.2202994051208384e-06,29.135336004409474
E->D->C->A->B->F,0.009982195048620008,1.996439009724002e-06,26.997439527598544
